 # Kernel loads 24 bytes per iteration
 # Kernel has 3 FLOPs
 # AI = 0.125 FLOP/byte
 #Smallest time delta is   9.536743164062500E-007
 #   Size  Iter        DAXPY
 #              Min    Mean   Max   GFLOPS  Mean time(s)
      30  400  88.07 106.65 107.86   8.89   0.6751E-08
      36  400 113.87 116.45 117.80   9.70   0.7419E-08
      44  400 110.98 125.74 127.50  10.48   0.8398E-08
      53  400 116.95 124.86 126.50  10.41   0.1019E-07
      63  400 123.89 128.38 130.10  10.70   0.1178E-07
      77  400 129.89 134.35 136.17  11.20   0.1375E-07
      92  400 136.35 138.31 139.76  11.53   0.1596E-07
     111  400 134.49 136.38 137.57  11.36   0.1953E-07
     134  400 142.63 144.50 145.89  12.04   0.2226E-07
     162  400 148.80 151.42 152.87  12.62   0.2568E-07
     195  400 148.85 150.31 151.94  12.53   0.3114E-07
     235  400 151.43 153.48 154.86  12.79   0.3675E-07
     284  400 138.32 140.20 154.39  11.68   0.4862E-07
     342  400 140.97 142.24 143.28  11.85   0.5771E-07
     413  400 144.78 146.71 147.92  12.23   0.6756E-07
     498  400 149.29 150.89 152.17  12.57   0.7921E-07
     601  400 150.91 152.43 153.61  12.70   0.9463E-07
     725  400 152.40 154.14 155.34  12.85   0.1129E-06
     874  400 155.32 156.75 158.19  13.06   0.1338E-06
    1054  400 155.04 156.92 158.21  13.08   0.1612E-06
    1271  400 154.80 157.99 159.46  13.17   0.1931E-06
    1533  400 157.64 159.54 160.79  13.30   0.2306E-06
    1848  400 158.86 160.78 162.13  13.40   0.2759E-06
    2229  400  68.80  70.21  71.31   5.85   0.7619E-06
    2688  400  60.34  60.91  61.18   5.08   0.1059E-05
    3242  400  60.42  60.99  61.27   5.08   0.1276E-05
    3910  400  60.03  60.96  61.26   5.08   0.1539E-05
    4715  400  60.05  61.00  61.32   5.08   0.1855E-05
    5687  400  59.63  63.00  64.54   5.25   0.2166E-05
    6858  400  60.20  60.86  64.19   5.07   0.2705E-05
    8271  400  59.74  60.57  60.84   5.05   0.3277E-05
    9975  400  59.04  59.71  60.08   4.98   0.4009E-05
   12030  400  57.57  57.91  58.17   4.83   0.4986E-05
   14508  400  55.54  55.78  56.00   4.65   0.6242E-05
   17497  400  53.04  53.40  53.55   4.45   0.7864E-05
   21101  400  50.27  50.60  50.75   4.22   0.1001E-04
   25448  400  46.32  46.61  46.66   3.88   0.1310E-04
   30691  400  45.40  47.56  48.34   3.96   0.1549E-04
   37013  400  45.34  46.75  46.82   3.90   0.1900E-04
   44638  400  44.22  46.15  46.26   3.85   0.2321E-04
   53833  400  44.93  46.15  46.24   3.85   0.2800E-04
   64923  400  44.46  46.13  46.25   3.84   0.3378E-04
   78297  400  43.68  44.78  46.21   3.73   0.4196E-04
   94427  400  42.97  43.79  43.84   3.65   0.5175E-04
  113879  400  42.76  43.78  43.84   3.65   0.6243E-04
  137338  400  42.28  43.64  43.69   3.64   0.7553E-04
  165630  400  41.27  42.80  42.86   3.57   0.9287E-04
  199751  400  41.13  42.94  45.25   3.58   0.1116E-03
  240900  400  42.39  45.30  45.39   3.77   0.1276E-03
  290526  400  42.44  45.35  45.53   3.78   0.1538E-03
  350375  400  40.89  44.43  45.28   3.70   0.1893E-03
  422553  400  39.27  44.35  44.50   3.70   0.2287E-03
  509600  400  35.15  40.74  40.94   3.40   0.3002E-03
  614579  400  30.10  33.70  34.03   2.81   0.4376E-03
  741184  400  24.98  26.56  26.70   2.21   0.6697E-03
  893870  400  22.11  22.42  22.55   1.87   0.9570E-03
 1078009  400  20.58  20.74  21.14   1.73   0.1248E-02
 1300082  400  20.20  20.30  20.78   1.69   0.1537E-02
 1567902  400  20.12  20.24  20.91   1.69   0.1860E-02
 1890893  400  20.40  20.76  21.37   1.73   0.2186E-02
 2280422  400  20.09  20.45  21.71   1.70   0.2676E-02
 2750195  400  20.09  20.21  20.96   1.68   0.3267E-02
 3316743  400  20.12  20.22  20.79   1.68   0.3938E-02
 4000000  400  20.11  20.20  20.64   1.68   0.4751E-02
