 # Kernel loads 24 bytes per iteration
 # Kernel has 6 FLOPs
 # AI = 0.25 FLOP/byte
 # Smallest time delta is   9.536743164062500E-007
 #   Size  Iter        DAXPY
 #              Min    Mean   Max   GFLOPS  Mean time(s)
      30  400  23.03  57.44  64.05  14.36   0.1253E-07
      36  400  63.82  70.45  73.73  17.61   0.1226E-07
      44  400  70.03  75.75  76.13  18.94   0.1394E-07
      53  400  70.38  73.84  74.14  18.46   0.1723E-07
      63  400  69.71  73.49  73.80  18.37   0.2057E-07
      77  400  74.70  77.73  77.99  19.43   0.2377E-07
      92  400  77.79  81.95  82.26  20.49   0.2694E-07
     111  400  76.55  79.50  79.75  19.88   0.3351E-07
     134  400  80.00  83.12  83.35  20.78   0.3869E-07
     162  400  80.07  85.79  86.04  21.45   0.4532E-07
     195  400  81.08  84.91  85.18  21.23   0.5512E-07
     235  400  81.28  85.45  85.80  21.36   0.6601E-07
     284  400  78.95  82.32  82.63  20.58   0.8280E-07
     342  400  79.93  82.81  83.19  20.70   0.9911E-07
     413  400  80.27  83.77  84.15  20.94   0.1183E-06
     498  400  82.34  85.40  85.65  21.35   0.1399E-06
     601  400  82.67  85.77  86.03  21.44   0.1682E-06
     725  400  82.83  86.11  86.42  21.53   0.2021E-06
     874  400  82.75  86.99  87.27  21.75   0.2411E-06
    1054  400  83.85  87.02  87.21  21.76   0.2907E-06
    1271  400  82.54  86.25  87.68  21.56   0.3537E-06
    1533  400  82.32  83.26  83.48  20.82   0.4419E-06
    1848  400  83.04  83.67  84.06  20.92   0.5301E-06
    2229  400  60.71  61.48  61.68  15.37   0.8701E-06
    2688  400  57.00  57.65  57.80  14.41   0.1119E-05
    3242  400  57.28  57.69  57.83  14.42   0.1349E-05
    3910  400  56.64  57.49  57.69  14.37   0.1632E-05
    4715  400  56.94  57.58  57.84  14.40   0.1965E-05
    5687  400  56.74  59.63  60.73  14.91   0.2289E-05
    6858  400  57.29  59.84  60.81  14.96   0.2750E-05
    8271  400  58.47  60.24  60.56  15.06   0.3295E-05
    9975  400  58.11  59.93  60.22  14.98   0.3995E-05
   12030  400  54.13  56.86  57.23  14.22   0.5077E-05
   14508  400  53.19  54.53  54.81  13.63   0.6385E-05
   17497  400  45.88  53.04  53.40  13.26   0.7917E-05
   21101  400  46.22  48.61  48.86  12.15   0.1042E-04
   25448  400  41.72  44.26  44.56  11.06   0.1380E-04
   30691  400  40.50  41.62  41.73  10.41   0.1770E-04
   37013  400  39.94  41.11  41.21  10.28   0.2161E-04
   44638  400  39.33  41.03  41.13  10.26   0.2611E-04
   53833  400  39.70  41.05  41.16  10.26   0.3147E-04
   64923  400  39.69  41.08  41.17  10.27   0.3793E-04
   78297  400  39.52  41.06  41.17  10.26   0.4577E-04
   94427  400  39.09  41.04  41.15  10.26   0.5522E-04
  113879  400  39.72  41.04  41.15  10.26   0.6659E-04
  137338  400  39.32  40.99  41.09  10.25   0.8041E-04
  165630  400  39.10  40.63  40.75  10.16   0.9783E-04
  199751  400  38.45  38.70  40.73   9.67   0.1239E-03
  240900  400  37.50  40.09  40.81  10.02   0.1442E-03
  290526  400  37.06  39.46  40.83   9.87   0.1767E-03
  350375  400  37.93  40.53  40.70  10.13   0.2075E-03
  422553  400  36.13  39.38  39.55   9.84   0.2575E-03
  509600  400  33.42  36.65  36.86   9.16   0.3337E-03
  614579  400  30.00  32.68  32.90   8.17   0.4514E-03
  741184  400  26.89  28.49  28.62   7.12   0.6244E-03
  893870  400  24.11  24.72  24.89   6.18   0.8677E-03
 1078009  400  22.28  22.73  23.33   5.68   0.1138E-02
 1300082  400  21.81  21.93  22.43   5.48   0.1422E-02
 1567902  400  21.95  22.43  23.10   5.61   0.1678E-02
 1890893  400  22.00  22.42  23.05   5.60   0.2024E-02
 2280422  400  21.71  22.40  23.52   5.60   0.2444E-02
 2750195  400  21.83  22.41  23.23   5.60   0.2945E-02
 3316743  400  22.11  22.43  23.13   5.61   0.3550E-02
 4000000  400  21.71  22.19  23.02   5.55   0.4326E-02
