 # Kernel loads/stores 24 bytes per iteration
 # Kernel has 4 FLOPs
 # AI = 0.167 FLOP/byte
 # Smallest time delta is   9.536743164062500E-007
 #   Size  Iter        DAXPY
 #              Min    Mean   Max   GFLOPS  Mean time(s)
      30  400  30.24  70.53  81.99  11.76   0.1021E-07
      36  400  90.57  91.60  91.95  15.27   0.9432E-08
      44  400  97.17  97.56  98.04  16.26   0.1082E-07
      53  400  79.07 100.18 103.43  16.70   0.1270E-07
      63  400  80.34 105.29 106.78  17.55   0.1436E-07
      77  400  88.96 111.79 112.82  18.63   0.1653E-07
      92  400  99.05 117.45 118.39  19.57   0.1880E-07
     111  400  88.55 115.64 117.08  19.27   0.2304E-07
     134  400 115.67 121.98 122.76  20.33   0.2636E-07
     162  400 118.81 126.69 127.50  21.12   0.3069E-07
     195  400  98.66 125.43 127.01  20.90   0.3731E-07
     235  400  99.79 127.89 129.05  21.32   0.4410E-07
     284  400 113.61 119.80 120.62  19.97   0.5689E-07
     342  400 112.78 120.08 120.91  20.01   0.6835E-07
     413  400 117.05 123.73 124.54  20.62   0.8011E-07
     498  400 118.67 125.45 126.34  20.91   0.9527E-07
     601  400 119.83 126.59 127.49  21.10   0.1139E-06
     725  400 117.76 127.60 128.51  21.27   0.1364E-06
     874  400 121.63 128.74 129.58  21.46   0.1629E-06
    1054  400 121.06 128.29 129.22  21.38   0.1972E-06
    1271  400 122.46 129.61 130.43  21.60   0.2354E-06
    1533  400 123.35 130.45 131.49  21.74   0.2820E-06
    1848  400 123.52 131.01 131.86  21.83   0.3385E-06
    2229  400  69.30  72.41  72.71  12.07   0.7388E-06
    2688  400  61.11  63.81  64.25  10.63   0.1011E-05
    3242  400  61.23  63.76  64.17  10.63   0.1220E-05
    3910  400  60.11  63.25  64.00  10.54   0.1484E-05
    4715  400  59.86  60.56  60.89  10.09   0.1869E-05
    5687  400  59.85  60.40  60.66  10.07   0.2260E-05
    6858  400  56.95  61.84  64.01  10.31   0.2662E-05
    8271  400  59.66  62.94  63.37  10.49   0.3154E-05
    9975  400  58.72  62.26  62.87  10.38   0.3845E-05
   12030  400  55.50  59.09  59.84   9.85   0.4886E-05
   14508  400  56.16  57.75  58.06   9.63   0.6029E-05
   17497  400  55.09  56.80  57.09   9.47   0.7394E-05
   21101  400  50.91  53.17  53.38   8.86   0.9524E-05
   25448  400  47.24  49.03  49.25   8.17   0.1246E-04
   30691  400  44.77  46.12  46.20   7.69   0.1597E-04
   37013  400  43.47  45.55  45.66   7.59   0.1950E-04
   44638  400  42.95  45.03  45.43   7.51   0.2379E-04
   53833  400  42.99  45.28  45.44   7.55   0.2854E-04
   64923  400  42.49  43.05  43.11   7.18   0.3619E-04
   78297  400  42.24  43.06  43.12   7.18   0.4364E-04
   94427  400  42.29  43.05  43.11   7.18   0.5264E-04
  113879  400  42.09  43.04  43.09   7.17   0.6350E-04
  137338  400  41.70  43.00  43.04   7.17   0.7666E-04
  165630  400  40.95  43.49  44.75   7.25   0.9141E-04
  199751  400  42.46  44.67  44.76   7.44   0.1073E-03
  240900  400  41.84  44.77  44.84   7.46   0.1291E-03
  290526  400  42.12  44.81  44.90   7.47   0.1556E-03
  350375  400  40.87  44.76  44.86   7.46   0.1879E-03
  422553  400  38.82  42.94  43.13   7.16   0.2362E-03
  509600  400  35.38  39.44  40.44   6.57   0.3101E-03
  614579  400  29.49  32.06  32.26   5.34   0.4601E-03
  741184  400  25.65  26.86  26.98   4.48   0.6621E-03
  893870  400  23.11  23.52  23.64   3.92   0.9120E-03
 1078009  400  21.73  21.84  22.11   3.64   0.1184E-02
 1300082  400  21.21  21.51  22.01   3.58   0.1451E-02
 1567902  400  21.34  21.82  22.20   3.64   0.1725E-02
 1890893  400  21.12  21.62  22.34   3.60   0.2099E-02
 2280422  400  21.05  21.21  22.12   3.53   0.2581E-02
 2750195  400  21.03  21.20  21.88   3.53   0.3114E-02
 3316743  400  21.08  21.19  21.71   3.53   0.3756E-02
 4000000  400  21.07  21.59  21.90   3.60   0.4447E-02
