 # Kernel loads 24 bytes per iteration
 # Kernel has 5 FLOPs
 # AI = 0.208 FLOP/byte
 # Smallest time delta is   9.536743164062500E-007
 #   Size  Iter        DAXPY
 #              Min    Mean   Max   GFLOPS  Mean time(s)
      30  400  28.14  66.32  73.17  13.82   0.1086E-07
      36  400  71.90  81.52  81.77  16.98   0.1060E-07
      44  400  74.13  83.08  83.26  17.31   0.1271E-07
      53  400  74.13  82.49  82.97  17.19   0.1542E-07
      63  400  75.07  82.69  83.04  17.23   0.1829E-07
      77  400  80.15  87.86  88.24  18.30   0.2103E-07
      92  400  90.65  95.26  96.67  19.85   0.2318E-07
     111  400  87.76  95.68  96.10  19.93   0.2784E-07
     134  400  92.12  97.78  98.57  20.37   0.3289E-07
     162  400  98.25 102.72 103.35  21.40   0.3785E-07
     195  400  97.94 103.55 104.23  21.57   0.4519E-07
     235  400 100.74 105.20 105.85  21.92   0.5361E-07
     284  400  93.75  97.76  98.37  20.37   0.6972E-07
     342  400  94.76  99.10  99.88  20.65   0.8283E-07
     413  400  97.94 103.24 104.12  21.51   0.9601E-07
     498  400  98.76 103.32 104.12  21.52   0.1157E-06
     601  400  98.66 104.24 104.93  21.72   0.1384E-06
     725  400 101.70 106.47 107.37  22.18   0.1634E-06
     874  400 101.79 106.54 107.39  22.20   0.1969E-06
    1054  400 102.12 106.94 107.63  22.28   0.2366E-06
    1271  400 103.43 108.47 109.20  22.60   0.2812E-06
    1533  400 103.87 108.94 109.70  22.70   0.3377E-06
    1848  400 103.09 108.86 109.84  22.68   0.4074E-06
    2229  400  64.71  68.40  70.01  14.25   0.7821E-06
    2688  400  59.25  60.95  63.83  12.70   0.1058E-05
    3242  400  59.55  60.16  60.53  12.53   0.1293E-05
    3910  400  59.19  59.81  60.15  12.46   0.1569E-05
    4715  400  59.12  60.02  60.32  12.50   0.1886E-05
    5687  400  59.04  60.04  60.38  12.51   0.2273E-05
    6858  400  59.20  60.15  60.47  12.53   0.2736E-05
    8271  400  58.85  59.97  60.45  12.49   0.3310E-05
    9975  400  58.79  59.86  60.30  12.47   0.4000E-05
   12030  400  58.59  61.71  62.65  12.86   0.4679E-05
   14508  400  58.21  60.24  60.80  12.55   0.5780E-05
   17497  400  53.61  54.93  55.28  11.44   0.7644E-05
   21101  400  47.34  49.02  49.31  10.21   0.1033E-04
   25448  400  45.44  47.13  47.28   9.82   0.1296E-04
   30691  400  44.14  45.21  45.32   9.42   0.1629E-04
   37013  400  41.57  43.33  43.95   9.03   0.2050E-04
   44638  400  40.85  41.27  41.33   8.60   0.2596E-04
   53833  400  40.87  41.25  41.32   8.59   0.3132E-04
   64923  400  40.70  41.25  41.31   8.59   0.3778E-04
   78297  400  40.58  41.25  41.31   8.59   0.4555E-04
   94427  400  40.63  41.24  41.31   8.59   0.5495E-04
  113879  400  40.48  41.24  41.30   8.59   0.6627E-04
  137338  400  40.31  41.20  41.26   8.58   0.8001E-04
  165630  400  39.70  42.22  43.04   8.80   0.9415E-04
  199751  400  41.08  42.96  43.06   8.95   0.1116E-03
  240900  400  40.46  43.00  43.09   8.96   0.1345E-03
  290526  400  40.45  42.50  43.14   8.85   0.1641E-03
  350375  400  38.07  40.59  40.68   8.46   0.2071E-03
  422553  400  36.15  39.09  39.22   8.14   0.2594E-03
  509600  400  33.07  36.16  36.35   7.53   0.3382E-03
  614579  400  29.84  32.21  32.36   6.71   0.4579E-03
  741184  400  26.07  27.73  28.49   5.78   0.6415E-03
  893870  400  23.82  24.41  24.56   5.09   0.8788E-03
 1078009  400  20.18  22.79  22.99   4.75   0.1135E-02
 1300082  400  20.35  22.20  22.72   4.62   0.1405E-02
 1567902  400  21.39  21.60  22.95   4.50   0.1742E-02
 1890893  400  21.69  22.11  22.79   4.61   0.2053E-02
 2280422  400  21.46  22.09  23.20   4.60   0.2477E-02
 2750195  400  21.42  22.09  22.96   4.60   0.2987E-02
 3316743  400  21.76  22.10  22.59   4.60   0.3602E-02
 4000000  400  21.74  22.09  22.66   4.60   0.4345E-02
