# Intel v.16, -O3 -fast but without -fast on link line
# Smallest time delta is   9.536743164062500E-007
#     Size  Iter           FILL               COPY                DAXPY                  DOT
#                  Min    Avg   Max    Min    Avg    Max    Min    Avg   Max     Min    Avg    Max
       30   200   0.89   1.23   1.27  35.97  68.90  70.49  60.80  97.01  99.30  14.39  24.73  25.14
       36   200   2.69   2.74   2.77  69.56  75.09  76.11 102.80 110.45 111.63  27.23  27.98  28.18
       44   200   2.76   2.80   2.93  73.91  77.41  81.22 101.58 107.94 113.36  27.89  29.26  30.90
       53   200   2.19   2.20   2.25  81.74  83.45  87.69 103.11 111.50 117.53  29.77  31.43  32.94
       63   200   2.53   2.58   2.60  86.82  90.96  92.76  94.85 102.33 104.80  30.02  31.33  31.75
       77   200   3.29   3.31   3.35  89.51  91.58  95.66 105.71 113.80 119.55  32.29  33.09  34.60
       92   200   4.80   4.81   4.81  91.96  92.66  93.69 103.32 110.87 112.57  30.35  31.37  31.44
      111   200   4.68   4.69   4.71  96.52  97.31  98.33  98.47 105.47 106.66  33.19  34.67  34.99
      134   200   5.55   5.59   5.76  98.00 100.50 105.97 104.80 111.30 117.80  33.18  34.96  36.72
      162   200  10.00  10.51  10.57 102.07 107.21 108.50  97.94 109.86 118.81  34.41  36.16  36.55
      195   200  10.08  10.54  10.65 102.88 109.52 111.47 104.01 110.08 112.82  35.14  36.78  37.30
      235   200  11.12  11.14  11.16 106.14 107.15 107.76 102.35 109.43 111.51  35.65  35.87  36.16
      284   200   8.96   8.99   9.00 107.20 108.11 108.85 111.23 118.07 121.53  33.95  35.66  35.78
      342   200   8.53   8.72   8.74 107.37 115.68 116.40 120.29 129.01 132.75  37.05  39.02  39.24
      413   200   9.43   9.66   9.68 108.63 116.96 117.89 121.06 134.44 139.95  36.72  38.42  38.58
      498   200  12.76  13.16  13.19 110.15 117.97 118.77 122.95 134.41 136.77  36.84  39.09  39.27
      601   200  13.05  13.46  13.49 109.96 114.11 114.71 129.38 140.55 146.99  37.49  38.72  38.83
      725   200  10.92  11.14  11.18 106.31 114.88 118.51 131.67 142.60 150.01  38.44  39.57  39.78
      874   200  13.53  14.00  14.04 107.88 116.53 117.41 132.22 142.16 146.77  38.41  39.45  39.67
     1054   200  11.81  11.99  12.39 109.38 113.82 118.77 128.68 139.15 147.65  37.43  38.13  39.63
     1271   200  12.34  12.86  12.95 109.43 118.45 119.41 128.15 142.88 146.79  38.60  39.87  40.08
     1533   200  12.74  13.02  13.05 111.10 119.71 120.74 133.14 146.24 150.51  38.55  39.69  39.82
     1848   200  14.20  14.58  14.62 113.86 119.45 120.51 130.24 146.75 163.18  38.95  40.01  40.17
     2229   200  13.24  13.63  13.66  59.07  66.87  68.72  70.05  73.02  73.76  36.13  37.86  38.11
     2688   200  13.98  14.64  14.77  49.96  57.65  59.58  60.80  64.36  65.84  35.45  37.20  37.71
     3242   200  14.56  14.87  14.89  51.54  57.89  59.28  63.12  64.92  66.20  36.59  37.53  37.74
     3910   200  14.07  14.33  14.36  52.63  57.89  59.53  61.86  65.04  66.06  36.74  37.72  37.89
     4715   200  13.07  14.75  15.00  52.87  57.90  60.24  60.73  63.98  65.91  33.78  36.76  38.70
     5687   200  13.63  14.44  14.54  52.65  59.15  60.99  60.80  64.77  66.08  34.95  37.17  37.48
     6858   200  14.68  15.05  15.07  55.97  58.88  60.24  62.55  65.24  66.09  36.32  37.27  37.45
     8271   200  14.36  14.74  14.76  48.72  55.28  55.86  61.55  65.14  65.68  36.38  37.32  37.51
     9975   200  14.34  14.83  14.86  48.34  54.92  55.31  60.69  62.92  63.29  35.85  36.78  37.12
    12030   200  14.57  14.93  14.95  48.30  54.05  54.52  58.41  59.93  60.29  33.94  35.29  35.92
    14508   200  14.55  14.84  14.93  46.80  53.46  53.77  56.53  58.01  58.28  34.88  36.14  36.27
    17497   200  14.40  15.13  15.18  46.80  52.22  52.63  52.78  55.60  55.86  33.70  35.50  35.66
    21101   200  14.27  14.88  15.05  45.38  50.73  51.59  51.15  53.74  54.51  33.55  35.03  35.53
    25448   200  14.62  15.18  15.19  44.58  49.55  49.86  48.35  50.36  50.58  33.73  34.53  34.69
    30691   200  14.47  15.17  15.20  43.73  47.93  48.18  47.15  48.64  48.83  33.44  34.21  34.36
    37013   200  14.77  15.07  15.12  42.72  46.32  46.55  46.39  47.58  47.68  33.18  34.06  34.20
    44638   200  14.78  15.12  15.14  41.63  44.72  44.92  46.24  47.19  47.27  32.48  33.81  33.94
    53833   200  14.72  15.17  15.20  41.55  43.54  43.75  45.72  46.67  46.78  32.35  33.76  33.89
    64923   200  14.62  15.17  15.19  40.75  42.57  42.73  45.24  46.65  46.73  32.63  33.77  33.90
    78297   200  14.35  15.11  15.18  39.61  41.54  41.86  44.24  46.50  46.75  32.04  33.68  33.90
    94427   200  14.39  15.15  15.17  38.62  40.83  41.02  44.29  46.63  46.73  32.08  33.80  33.92
   113879   200  14.80  15.11  15.13  37.89  40.06  40.23  44.89  46.62  46.71  32.37  33.79  33.92
   137338   200  14.72  15.11  15.15  37.31  39.39  39.56  45.46  46.45  46.56  32.99  33.69  33.81
   165630   200  14.62  15.06  15.09  36.93  38.80  38.95  44.68  45.60  45.69  32.58  33.46  33.60
   199751   200  14.26  15.01  15.10  36.25  38.09  38.32  43.31  45.58  45.77  31.60  33.26  33.49
   240900   200  14.20  14.83  15.01  33.94  37.19  37.70  43.21  45.35  45.89  31.31  32.98  33.48
   290526   200  14.49  14.85  14.87  34.77  37.02  37.14  45.03  45.94  46.06  32.56  33.34  33.46
   350375   200  14.50  14.80  14.86  32.72  35.30  35.50  43.29  45.00  45.12  31.79  32.91  33.07
   422553   200  14.34  14.67  14.76  29.96  33.03  33.21  42.14  43.80  43.99  31.19  32.26  32.47
   509600   200  14.24  14.58  14.79  24.99  28.07  28.24  38.62  40.35  40.54  29.07  29.90  30.15
   614579   200  14.00  14.54  14.82  19.63  21.74  21.87  32.98  34.01  34.22  24.87  25.64  25.80
   741184   200  13.68  14.44  14.79  17.35  18.56  18.70  27.62  28.58  28.77  21.25  21.97  22.16
   893870   200  13.93  14.44  15.13  15.52  16.05  16.16  24.16  25.03  25.17  19.21  19.79  20.00
  1078009   200  13.98  14.35  15.11  15.79  16.10  16.21  23.00  23.54  23.66  18.02  18.46  18.68
  1300082   200  14.05  14.46  15.10  13.82  14.09  14.30  22.08  22.52  22.62  17.83  18.19  18.31
  1567902   200  13.52  14.11  15.09  13.25  13.61  14.27  22.04  22.65  22.93  17.28  17.70  18.00
